fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2020-06-30,xochimilco,CDMX,0.04606222339,2151114.3,118761.67897131188,2020,492,113753.98356164382,231.20728366187768,141.3780987501793,749.4904109589042,33.18904109589042,106.8486301369863,202.9109589041096,333.91369863013705,2020
2020-09-30,xochimilco,CDMX,0.04606222339,2577710.4,118382.19764702456,2020,492,116912.28493150686,237.62659538924157,149.98863512341086,792.7753424657534,30.66575342465754,105.20684931506848,206.69863013698628,346.49520547945207,2020
2020-12-31,xochimilco,CDMX,0.04606222339,2650584.1,121815.06487827745,2020,492,109972.55342465751,223.52145005011693,137.48142430539482,735.8328767123288,31.8054794520548,104.38150684931506,195.01506849315072,320.2458904109589,2020
2021-03-31,xochimilco,CDMX,0.04606222339,2944607.2,125274.04881441468,2021,492,110540.78904109592,224.6764004900323,142.10129131550607,757.5260273972601,31.38082191780822,101.84246575342466,193.9698630136986,322.9979452054794,2021
2021-06-30,xochimilco,CDMX,0.04606222339,2659692.8,125479.69821696167,2021,492,116884.01095890414,237.56912796525228,155.00974966444016,814.8136986301367,31.093150684931512,102.66780821917808,204.0123287671233,344.7561643835616,2021
2021-09-30,xochimilco,CDMX,0.04606222339,2669881.7,125282.25076906706,2021,492,117878.19178082193,239.58982069272747,156.30588253810942,824.205479452055,30.953424657534246,104.48698630136987,205.72602739726028,344.66369863013705,2021
2021-12-31,xochimilco,CDMX,0.04606222339,2594129.6,125676.57909950858,2021,492,109561.52602739725,222.68602851097003,138.69226009130068,742.5068493150685,33.947945205479456,105.20753424657532,192.52191780821917,312.2198630136987,2021
2022-03-31,xochimilco,CDMX,0.04606222339,2966769.4,126927.93194589976,2022,492,111628.37534246572,226.88694175297917,140.77085905784992,762.66301369863,36.306849315068476,108.29109589041096,196.38493150684926,316.86369863013704,2022
2022-06-30,xochimilco,CDMX,0.04606222339,2706016.8,129073.0779022839,2022,492,120439.2684931507,244.79526116494037,160.57441160138882,863.5616438356163,32.416438356164385,107.60616438356166,209.3054794520548,349.2472602739726,2022
2022-09-30,xochimilco,CDMX,0.04606222339,2840890.3,131048.53753703278,2022,492,122000.14794520548,247.96778037643392,162.4656537031603,900.7178082191782,31.484931506849318,110.69041095890412,212.67260273972602,351.4609589041096,2022
2023-03-31,xochimilco,CDMX,0.04606222339,3108307.2,134551.4619553951,2023,492,119407.36164383561,242.69788951999107,155.78311857850562,887.4575342465755,34.454794520547935,113.86986301369865,207.4876712328767,338.7609589041096,2023
2023-06-30,xochimilco,CDMX,0.04606222339,2859903.6,135661.7740010995,2023,492,127037.23835616438,258.2057690165943,171.39977208490387,967.1780821917808,33.531506849315065,115.05684931506849,219.06438356164384,364.6787671232876,2023
